City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
366,Conceicao Do Araguaia,BR,74.44,moderate rain,-8.2578,-49.2647,Tarumã Tropical Hotel
367,Labuhan,ID,83.05,scattered clouds,-6.8844,112.2051,DoubleFAG
371,Milazzo,IT,54.82,clear sky,38.2212,15.2383,Albergo Esperia
372,Kita,ML,70.54,clear sky,13.0349,-9.4895,Hôtel Chat Rouge
374,Puerto Leguizamo,CO,72.64,heavy intensity rain,-0.1934,-74.7819,la casona de juancho
375,Kralendijk,BQ,76.98,clear sky,12.15,-68.2667,Divi Flamingo Beach Resort & Casino
376,Asasa,ET,52.48,clear sky,7.1,39.2,abc
378,Kyaikto,MM,77.65,scattered clouds,17.3,97.0167,နီလာ တည်းခိုခန်း
380,Ariquemes,BR,72.48,heavy intensity rain,-9.9133,-63.0408,Hotel Sol Nascente - Ariquemes - RO
388,Warrnambool,AU,74.8,overcast clouds,-38.3833,142.4833,Lady Bay Resort
389,Grants Pass,US,53.11,broken clouds,42.439,-123.3284,La Quinta Inn & Suites by Wyndham Grants Pass
393,Rio Grande,BR,75.31,clear sky,-32.035,-52.0986,Hotel Atlântico Rio Grande
395,Salalah,OM,69.89,scattered clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
396,Sena Madureira,BR,72.52,scattered clouds,-9.0656,-68.6569,Hotel Central
397,Richards Bay,ZA,71.2,heavy intensity rain,-28.783,32.0377,BON Hotel Waterfront Richards Bay
398,Nouadhibou,MR,64.38,clear sky,20.931,-17.0347,El Medina
399,Comodoro Rivadavia,AR,53.46,clear sky,-45.8667,-67.5,Austral Hotel
400,San Pedro,PH,85.32,broken clouds,14.35,121.0167,Villa Veronica Resort Private Pool
401,Quatre Cocos,MU,79.09,moderate rain,-20.2078,57.7625,Sunrise Attitude Hotel
403,Srikakulam,IN,67.39,scattered clouds,18.3,83.9,Micro Systems
404,San Joaquin,US,61.38,clear sky,37.9333,-121.3011,University Plaza Waterfront Hotel
408,Lafiagi,NG,73.67,clear sky,8.8667,5.4167,Bus group international
411,Terra Santa,BR,73.24,overcast clouds,-2.1042,-56.4869,Hotel Sarah
413,Antofagasta,CL,65.48,clear sky,-23.65,-70.4,"Holiday Inn Express Antofagasta, an IHG Hotel"
414,Waipawa,NZ,57.45,light rain,-41.4122,175.5153,Tora Coastal Walk
415,Palitana,IN,58.69,scattered clouds,21.5167,71.8333,Sanderao Bhavan
416,San Jose,US,61.05,few clouds,37.3394,-121.895,The Westin San Jose
418,Dwarka,IN,68.85,clear sky,22.2394,68.9678,Hotel Narayan Avezika Comfort
419,Marawi,PH,78.26,broken clouds,7.9986,124.2928,Derogongan Residence
425,Ratnagiri,IN,64.74,few clouds,16.9833,73.3,Hotel Landmark
